name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Iasi,2017-01-04,3.8,-3.2,1,1.9,-6.2,-2.1,-7.3,54.6,0,0,0,,0,0,36,19.1,219.9,1008.6,61,10,54,4.6,3,,2017-01-04T07:55:57,2017-01-04T16:33:33,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-05,6.6,-4,2,4.5,-10,-0.7,-6.3,55.1,0.001,100,4.17,snow,0,0,36,18.7,304.7,1007.4,89.1,10,64.6,5.5,3,,2017-01-05T07:55:47,2017-01-05T16:34:38,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-06,-4.6,-13.8,-10.1,-11,-22.7,-18,-13.9,73.7,1.118,100,70.83,snow,4.4,1.9,64.8,24.4,334.4,1022.7,78,4.6,25.5,2.2,1,,2017-01-06T07:55:34,2017-01-06T16:35:44,0.29,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-07,-13.2,-15.6,-14.4,-23,-26.4,-24.5,-18.4,71.9,0.209,100,70.83,snow,8.4,5.7,64.8,33.7,320.4,1022.1,76.6,3.6,44.5,3.8,2,,2017-01-07T07:55:19,2017-01-07T16:36:53,0.32,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-08,-11.5,-13.7,-12.4,-17.6,-24.1,-21,-14.9,81.5,4.061,100,79.17,snow,10.6,15.2,75.6,29.5,318.7,1016.1,94.4,2.4,26.7,2.3,1,,2017-01-08T07:55:00,2017-01-08T16:38:03,0.36,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-09,-8.7,-14.8,-11.1,-12,-20.6,-16,-13.7,81.6,0.341,100,62.5,snow,0.2,16,21.6,12.3,317.6,1023.5,86.6,6.5,56.3,4.8,3,,2017-01-09T07:54:39,2017-01-09T16:39:15,0.39,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-10,-6.2,-13.8,-9.3,-7.4,-17.8,-12,-12.3,79.6,0,0,0,snow,2.4,16.8,18,10.6,304,1026,64.8,8.4,75.7,6.6,3,,2017-01-10T07:54:15,2017-01-10T16:40:28,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-11,-6,-13.3,-8.8,-6.4,-17.9,-13,-10.4,88.6,5.37,100,58.33,snow,3.8,19.7,21.6,11.5,291.2,1020.6,90.6,3.8,26.4,2.2,1,,2017-01-11T07:53:49,2017-01-11T16:41:43,0.46,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-12,-5.1,-10.7,-8.1,-6.5,-16.3,-11.7,-10.6,82.1,2.389,100,8.33,snow,0,19.8,22.7,12.6,84.8,1011.8,70.8,5.9,70.6,6.1,3,,2017-01-12T07:53:19,2017-01-12T16:43:00,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
Iasi,2017-01-13,0.6,-11.5,-5.2,-2.1,-18.1,-9.4,-9,74.9,0,0,0,,0,18,34.9,23.3,103.1,1011.3,59.3,8.9,58.7,4.9,3,,2017-01-13T07:52:47,2017-01-13T16:44:18,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"15056099999,15111099999,15090099999,15113099999,15094099999,LRIA"
