nume,oras,lat,long
Spitalul Militar de Urgență Dr. Victor Popescu,Timișoara,45.7569039,21.2254594
Clinica de radioterapie,Timișoara,45.7557238,21.2253393
"Spitalul Militar de Urgență ""Dr. Aristide Serfioti""",Galați,45.4496258,28.0431102
"Spitalul de psihiatrie ""Elisabeta Doamna""",Galați,45.459806,28.0396093
Spitalul Judetean Tulcea,Tulcea,45.1738202,28.7846626
Spitalul Clinic de Psihiatrie “Prof. Dr. Alexandru Obregia”,București,44.3860758,26.1248628
Spitalul Universitar de Urgență Militar Central „Dr. Carol Davila”,București,44.4429665,26.0749299
Spitalul Filantropia,București,44.4535123,26.0819245
INHT C.T Nicolau,București,44.4539658,26.0799803
Spitalul Clinic de Urgență pentru Copii „Grigore Alexandrescu”,București,44.4518507,26.0918832
Spitalul de Pneumoftiziologie Marius Nasta,București,44.4060346,26.0905305
Spitalul Fundeni,București,44.4647593,26.1551711
Spitalul Clinic de Urgență Sfântul Ioan,București,44.3907064,26.1440203
Spitalul Dr. Panait Sîrbu - Maternitatea Giulești,București,44.4498751,26.0603749
Spitalul Clinic Județean de Urgență Pius Brînzeu,Timișoara,45.7367734,21.2420703
Spitalul Clinic nr.1 C.F. Witing,București,44.4427886,26.072121
Spitalul Clinic de Urgență Prof. Dr. Agrippa Ionescu,Balotești,44.6460682,26.1201508
Spitalul Clinic de Boli Infecțioase și Tropicale “Dr. Victor Babeș”,București,44.4267514,26.1394851
Institutul Oncologic Prof. Dr. Ion Chiricuță,Cluj-Napoca,46.7632921,23.5870763
Secția de boli cronice,Hunedoara,45.7490818,22.9036757
Spitalul Județean Dâmbovița,Târgoviște,44.9229072,25.450142
Spitalul Municipal,Râmnicu Sărat,45.3785941,27.0520207
Spitalul Municipal Târgoviște,Târgoviște,44.9193267,25.4574517
Spitalul de Boli Infecțioase,Galați,45.4654633,28.0340469
UPU,Târgoviște,44.922293,25.4511604
Spitalul clinic de urgență pentru copii „Sfânta Maria”,Iași,47.1592638,27.6073911
Spitalul de Ortopedie MedLife,București,44.4429037,26.1281937
"Spitalul ""Buna Vestire"" obstretică-ginecologie",Galați,45.4444185,28.0431854
"Spitalul Municipal ""Dr. Teodor Andrei""",Lugoj,45.6915144,21.8893188
Policlinica Aiud,Aiud,46.3075891,23.7235522
Clinica Dermatologică,Iași,47.1574937,27.6165598
"Spitalul Clinic de Urgență ""Prof. Dr. Nicolae Oblu""",Iași,47.1611903,27.6063691
Centrul Regional de Transfuzie Sanguină Tg-Mureș,Târgu Mureș,46.5605886,24.5832778
Spitalul Clinic Județean de Urgență Brăila - Corp B,Braila,45.2583862,27.9525937
Spitalul de pneumoftiziologie Călărași,Călărași,44.1938354,27.3518561
Spitalul Prof. Dr. Constantin Angelescu,București,44.4280142,26.1132647
Policlinica Hipodrom,Braila,45.2599286,27.9531314
"Spitalul de Urgență ""Prof. Dr. Dimitrie Gerota""",București,44.4406093,26.1235511
"Spitalul Clinic ""Doctor Ioan Cantacuzino""",București,44.4445815,26.1097721
Spitalul Clinic Județean de Urgență,Deva,45.8762338,22.9047525
Nova Vita,Târgu Mureș,46.5367188,24.5535002
Clinica de Boli Infecțioase 1,Târgu Mureș,46.5304694,24.5500708
